Dataset;Plain GA (selection for survival);GGA;SexualGA;DSEA with Harem
eil76 (avg);618.951;606.377;603.928;598.449
eil76 (best);598.985;588.512;589.059;585.663
xqf131 (avg);712.73;709.269;685.932;653.397
xqf131 (best);668.545;665.611;660.799;631.062
a280 (avg);6172.59;4984.55;4851.74;3476.79
a280 (best);5577.59;4523.34;4427.72;3291.11
bcl380 (avg);6028.17;4651.5;4310.01;2857.5
bcl380 (best);5677.65;4393.29;4109.45;2734.82
ali535 (avg);8739.88;6503.76;6422.0;4167.31
ali535 (best);7290.56;5946.29;6123.79;3774.35
rat783 (avg);69153.2;46001.0;42121.4;27192.3
rat783 (best);63364.9;43794.3;40756.8;26642.7
nrw1379 (avg);636135.0;494536.0;447581.0;320963.0
nrw1379 (best);619724.0;476074.0;429583.0;308071.0
