Dataset	Plain GA (selection for survival)	Plain GA (selection for breeding)	GGA	SexualGA	DSEA (no gender, different operators)	DSEA (no gender, best operators)	DSEA (gender)	DSEA (harem gender selection)
eil76 (avg)	618.951	615.193	605.009	602.547	608.348	600.213	591.766	597.486
eil76 (best)	598.985	589.599	588.512	589.059	597.228	577.644	587.627	585.663
xqf131 (avg)	715.885	709.096	701.707	684.181	654.209	674.009	628.075	653.46
xqf131 (best)	668.545	686.516	657.084	660.799	622.67	636.299	628.075	631.062
a280 (avg)	6172.59	5627.99	4984.24	4864.92	4323.15	4139.38	3708.84	3483.25
a280 (best)	5577.59	5318.83	4523.34	4427.72	4111.79	3983.03	3567.07	3291.11
bcl380 (avg)	6080.35	5056.14	4635.29	4319.33	3853.32	3651.4	2979.22	2856.48
bcl380 (best)	5677.65	4587.89	4393.29	4109.45	3668.43	3484.0	2979.22	2734.82
ali535 (avg)	8837.16	7455.48	6458.64	6404.0	6030.42	5329.46	4686.16	4166.63
ali535 (best)	7290.56	6669.25	5946.29	6123.79	5721.24	4894.72	4559.92	3774.35
rat783 (avg)	68775.7	49862.2	46023.9	42152.8	38071.3	36568.6	30213.1	27220.1
rat783 (best)	63364.9	46348.1	43794.3	40756.8	37080.0	34966.0	30158.7	26642.7
nrw1379 (avg)	636654.0	506568.0	497174.0	447733.0	417691.0	405187.0	352961.0	320858.0
nrw1379 (best)	619724.0	490739.0	476074.0	429583.0	403389.0	382885.0	352961.0	308071.0
